,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[102],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[103],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[104],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[105],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[106],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[107],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[108],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[109],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[110],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[111],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[112],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[113],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[114],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[115],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[116],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[117],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[118],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[119],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[120],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[121],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[122],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[123],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[124],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[125],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[126],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[127],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[128],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[129],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[130],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[131],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[132],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[133],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[134],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[135],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[136],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[137],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[138],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[139],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[140],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[141],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[142],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[143],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[144],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[145],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[146],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[147],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[148],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[149],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[150],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[151],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[152],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[153],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[154],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[155],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[156],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[157],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[158],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[159],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[160],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[161],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[162],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[163],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[164],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[165],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[166],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[167],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[168],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[169],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[170],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[171],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[172],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[173],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[174],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[175],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[176],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[177],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[178],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[179],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[180],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[181],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
